Title,Year,Score,Title_Category,Runtime,URL
Lockjaw: Rise of the Kulev Serpent,2008,NR, Sci fi/Horror, 1h 30m,https://www.rottentomatoes.com/m/lockjaw-rise-of-the-kulev-serpent
Serpent's Lair,1995,NR, Horror, 1h 30m,https://www.rottentomatoes.com/m/serpents_lair
Serpent's Path,1998,NR, Drama/Crime, 1h 25m,https://www.rottentomatoes.com/m/hebi-no-michi-serpents-path
Red Serpent,2002,NR, Action, 1h 30m,https://www.rottentomatoes.com/m/red_serpent_2003
Night Flight From Moscow,1973,NR, Mystery and thriller, 1h 53m,https://www.rottentomatoes.com/m/the_serpent_1973
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,1957,NR, Adventure/Fantasy, 1h 10m,https://www.rottentomatoes.com/m/the-saga-of-the-viking-women-and-their-voyage-to-the-waters-of-the-great-sea-serpent
Fire Serpent,2007,NR, Sci fi/Fantasy, 1h 29m,https://www.rottentomatoes.com/m/fire_serpent
Basilisk: The Serpent King,2006,NR, Horror, 1h 36m,https://www.rottentomatoes.com/m/basilisk_the_serpent_king
The Snake,2008,85, Comedy, 1h 20m,https://www.rottentomatoes.com/m/serpent
The Serpent's Kiss,1997,NR, Drama, 1h 50m,https://www.rottentomatoes.com/m/serpents_kiss
The Serpent's Egg,1978,20, Drama, 2h,https://www.rottentomatoes.com/m/the_serpents_egg
The Serpent and the Rainbow,1988,65, Horror, 1h 38m,https://www.rottentomatoes.com/m/serpent_and_the_rainbow
Platform,2000,80, Drama, 2h 34m,https://www.rottentomatoes.com/m/platform
The Disciple,2010,NR, Drama, 1h 41m,https://www.rottentomatoes.com/m/el_discipulo
The Disciple,1915,NR, Western, 50m,https://www.rottentomatoes.com/m/the_disciple_1915
The Witching,1972,NR, Horror, 1h 22m,https://www.rottentomatoes.com/m/necromancy
Benny Bliss and the Disciples of Greatness,2009,NR, Comedy, 1h 34m,https://www.rottentomatoes.com/m/benny-bliss-the-disciples-of-greatness
The Disciple,2008,NR, Drama, 1h 40m,https://www.rottentomatoes.com/m/the-disciple
Challenge of the Shaolin Disciples,1981,NR, Action/Adventure, 1h 38m,https://www.rottentomatoes.com/m/challenge-of-the-shaolin-disciples1981
Disciple of Death,1972,NR, Horror, 1h 24m,https://www.rottentomatoes.com/m/disciple_of_death
The Devil's Disciple,1959,NR, Drama/History, 1h 22m,https://www.rottentomatoes.com/m/1157309-devils_disciple
Slay Belles,2018,NR,,,https://www.rottentomatoes.com/m/slay_belles_2018
Jack the Giant Slayer,2013,52, Adventure/Fantasy, 1h 53m,https://www.rottentomatoes.com/m/jack_the_giant_slayer
Slaying Goliath,2008,NR, Documentary, 1h 10m,https://www.rottentomatoes.com/m/slaying-goliath
Slay Ride,1972,NR, Drama/Crime, 1h 40m,https://www.rottentomatoes.com/m/slay-ride
Slayer,2006,NR, Horror, 1h 36m,https://www.rottentomatoes.com/m/1169097-slayer
Slayers: The Motion Picture,1995,NR, Animation/Fantasy, 1h 15m,https://www.rottentomatoes.com/m/slayers_the_motion_picture
Slayground,1984,NR, Action, 1h 29m,https://www.rottentomatoes.com/m/slayground
Buffy the Vampire Slayer,1992,36, Comedy, 1h 26m,https://www.rottentomatoes.com/m/buffy_the_vampire_slayer
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,100,,,https://www.rottentomatoes.com/m/michael_boltons_big_sexy_valentines_day_special
JoJo's Bizarre Adventure: Diamond is Unbreakable- Chapter 1 (JoJo no kimyô na bôken: Daiyamondo wa kudakenai - dai-isshô),2017,100,,,https://www.rottentomatoes.com/m/jojos_bizarre_adventure_diamond_is_unbreakable_chapter_1_2017
The Great Day,2015,NR, Documentary, 1h 26m,https://www.rottentomatoes.com/m/the_big_day_2015
Big Birding Day,2010,NR, Adventure, 13m,https://www.rottentomatoes.com/m/big_birding_day
We Met on the Vineyard,1999,NR, Comedy, 1h 28m,https://www.rottentomatoes.com/m/the_big_day_2001
Big Man Japan,2007,77, Comedy/Sci fi, 1h 53m,https://www.rottentomatoes.com/m/dai_nipponjin
Jour de Fete,1949,100, Comedy, 1h 20m,https://www.rottentomatoes.com/m/the_big_day_1952
Kingsman: The Golden Circle,2017,51, Comedy/Action, 2h 21m,https://www.rottentomatoes.com/m/kingsman_the_golden_circle
The Circle,2017,15, Drama/Mystery and thriller, 1h 50m,https://www.rottentomatoes.com/m/the_circle_2017
Circle,2015,50, Sci fi/Drama, 1h 27m,https://www.rottentomatoes.com/m/circle_2015
The Circle,2014,100, Drama/Gay and lesbian, 1h 42m,https://www.rottentomatoes.com/m/der_kreis
The Broken Circle Breakdown,2012,83, Romance/Music, 1h 52m,https://www.rottentomatoes.com/m/the_broken_circle_breakdown
The Circle,2005,NR, Drama/Mystery and thriller, 1h 43m,https://www.rottentomatoes.com/m/1172069-circle
Mrs. Parker and the Vicious Circle,1994,75, Drama/Biography, 2h 3m,https://www.rottentomatoes.com/m/mrs_parker_and_the_vicious_circle
Dane Cook: Vicious Circle,2006,NR,,,https://www.rottentomatoes.com/m/dane-cook-vicious-circle
Lovers of the Arctic Circle,1998,81, Drama, 1h 47m,https://www.rottentomatoes.com/m/lovers_of_the_arctic_circle
The Circle,2000,94, Drama, 1h 31m,https://www.rottentomatoes.com/m/the_circle_2001
Black Circle Boys,1997,NR, Drama, 1h 41m,https://www.rottentomatoes.com/m/black_circle_boys
Circle of Iron,1979,38, Sports and fitness/Action, 1h 42m,https://www.rottentomatoes.com/m/circle_of_iron
Circle of Friends,1995,78, Drama, 1h 36m,https://www.rottentomatoes.com/m/circle_of_friends
Bajocero,2021,88, Action/Mystery and thriller, 1h 46m,https://www.rottentomatoes.com/m/below_zero_2021
Zero,2018,27, Romance, 2h 44m,https://www.rottentomatoes.com/m/zero_2018
Zero Days,2016,92, Documentary, 1h 56m,https://www.rottentomatoes.com/m/zero_days
Zeroville,2019,23, Comedy, 1h 36m,https://www.rottentomatoes.com/m/zeroville_2019
Zero Motivation,2014,88, Comedy/Drama, 1h 40m,https://www.rottentomatoes.com/m/zero_motivation
The Zero Theorem,2013,48, Sci fi/Drama, 1h 47m,https://www.rottentomatoes.com/m/the_zero_theorem
Zero Charisma,2013,77, Comedy, 1h 28m,https://www.rottentomatoes.com/m/zero_charisma
Zero Dark Thirty,2012,91, War/Drama, 2h 37m,https://www.rottentomatoes.com/m/zero_dark_thirty
Fatman,2020,45, Comedy/Mystery and thriller, 1h 40m,https://www.rottentomatoes.com/m/fatman
Sexy Durga,2017,56, Drama/Horror, 1h 25m,https://www.rottentomatoes.com/m/sexy_durga
Chasuke's Journey,2015,67, Comedy, 1h 45m,https://www.rottentomatoes.com/m/ten_no_chasuke
The Innocent (Der Unschuldige),2018,33,,,https://www.rottentomatoes.com/m/the_innocent_2020
The Innocents,2016,95, Drama/History, 1h 55m,https://www.rottentomatoes.com/m/the_innocents_2016
Innocence,2013,19, Horror/Mystery and thriller, 1h 36m,https://www.rottentomatoes.com/m/innocence_2014
The Innocents Abroad,1982,NR, Adventure, 2h,https://www.rottentomatoes.com/m/the_innocents_abroad_1984
The Innocent Sleep,1995,NR, Mystery and thriller, 1h 50m,https://www.rottentomatoes.com/m/innocent_sleep
The Innocent,1976,79, Romance/Drama, 2h 5m,https://www.rottentomatoes.com/m/the_innocent_1979
The Innocents,1999,NR, Drama, 1h 52m,https://www.rottentomatoes.com/m/the-innocents2000
Innocence,2004,71, Mystery and thriller, 1h 55m,https://www.rottentomatoes.com/m/1185734-innocence
Young and Innocent,1937,100, Mystery and thriller, 1h 20m,https://www.rottentomatoes.com/m/young_and_innocent
The Innocents,1961,95, Horror, 1h 40m,https://www.rottentomatoes.com/m/1099622-innocents
The Innocent,1993,22, Drama, 1h 47m,https://www.rottentomatoes.com/m/the_innocent_1995
An Innocent Man,1989,38, Drama/Crime, 1h 53m,https://www.rottentomatoes.com/m/innocent_man
Presumed Innocent,1990,87, Mystery and thriller, 2h 8m,https://www.rottentomatoes.com/m/presumed_innocent
Innocent Blood,1992,39, Horror, 1h 52m,https://www.rottentomatoes.com/m/innocent_blood
The Age of Innocence,1993,84, Drama, 2h 18m,https://www.rottentomatoes.com/m/age_of_innocence
Innocence,2004,64, Sci fi/Anime, 1h 38m,https://www.rottentomatoes.com/m/ghost_in_the_shell_2_innocence
Innocent Voices,2004,72, War/Drama, 1h 50m,https://www.rottentomatoes.com/m/innocent_voices
Sexy Evil Genius,2013,NR, Comedy, 1h 25m,https://www.rottentomatoes.com/m/sexy_evil_genius_2013
Sexy Baby,2012,70, Documentary, 1h 23m,https://www.rottentomatoes.com/m/sexy_baby_2012
Sexy Soccer,2006,NR,,,https://www.rottentomatoes.com/m/sexy_soccer
Sexy American Idle,2004,NR,,,https://www.rottentomatoes.com/m/sexy_american_idle
"Sexykiller, morirás por ella",2008,NR,,,https://www.rottentomatoes.com/m/sexykiller-moriras-por-ella
Sexy Boys,2001,NR, Comedy, 1h 30m,https://www.rottentomatoes.com/m/sexy-boys
Sexy Beast,2000,87, Comedy/Drama, 1h 28m,https://www.rottentomatoes.com/m/sexy_beast
Fatma,2002,NR,,,https://www.rottentomatoes.com/m/fatma_2002
Zero Bridge,2008,77, Drama, 1h 36m,https://www.rottentomatoes.com/m/zero-bridge
Zero: An Investigation Into 9/11,2008,NR, Documentary,,https://www.rottentomatoes.com/m/zero-an-investigation-into-911
Zero Hour,1957,NR, Mystery and thriller, 1h 21m,https://www.rottentomatoes.com/m/zero_hour
Zerophilia,2005,25, Comedy, 1h 30m,https://www.rottentomatoes.com/m/zerophilia
Zero for Conduct,1933,93, Comedy, 47m,https://www.rottentomatoes.com/m/zero-de-conduite-1932
Zero Degrees Kelvin,1995,NR, Drama, 1h 53m,https://www.rottentomatoes.com/m/zero_kelvin_1995
Zero Patience,1993,50, Musical, 1h 40m,https://www.rottentomatoes.com/m/zero_patience
Zero Day,2003,68, Drama, 1h 32m,https://www.rottentomatoes.com/m/zero_day
Zero Effect,1998,65, Comedy/Drama, 1h 55m,https://www.rottentomatoes.com/m/zero_effect
Cube Zero,2004,NR, Horror, 1h 37m,https://www.rottentomatoes.com/m/1139738-cube_zero
