Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
Sweet Dreams,2012,100,62,Documentary,NR,1h 24m,https://www.rottentomatoes.com/m/sweet_dreams_2013,https://resizing.flixster.com/jbtcnJgl2sBwnAogbyBuN7qBHv0=/206x305/v2/https://flxt.tmsimg.com/assets/p10273193_p_v10_aa.jpg
Sweet Bird of Youth,1962,74,72,Drama,NR,2h,https://www.rottentomatoes.com/m/1020684-sweet_bird_of_youth,https://resizing.flixster.com/YGyBxRr1lH4-GHSdsxBvVwFlWVA=/206x305/v2/https://flxt.tmsimg.com/assets/p5355_p_v8_aa.jpg
Sweet Movie,1974,48,63,Comedy/Drama,NR,1h 39m,https://www.rottentomatoes.com/m/sweet_movie,https://resizing.flixster.com/8rFmkTOJjxLFxyRs8B_iDAK0zco=/206x305/v2/https://flxt.tmsimg.com/assets/p69591_v_v10_aa.jpg
Sweet Sweetback's Baadasssss Song,1971,71,48,Crime/Drama,R,1h 37m,https://www.rottentomatoes.com/m/sweet_sweetbacks_baadasssss_song,https://resizing.flixster.com/Q42oWqcEBcIy-9TV5jwgYZIRTwg=/206x305/v2/https://flxt.tmsimg.com/assets/p62694_p_v8_aa.jpg
Sweet Land,2005,85,83,Romance/Drama,PG,1h 50m,https://www.rottentomatoes.com/m/sweet_land,https://resizing.flixster.com/cHxhuFOvFql1EYa2jiIEB1i8v6A=/206x305/v2/https://flxt.tmsimg.com/assets/p164091_p_v10_aa.jpg
America's Sweethearts,2001,32,40,Romance,PG-13,1h 42m,https://www.rottentomatoes.com/m/americas_sweethearts,https://resizing.flixster.com/5rIwMAE0FbtWuPcD3mgZiT7X0JQ=/206x305/v2/https://flxt.tmsimg.com/assets/p28040_p_v8_ba.jpg
Sweet Smell of Success,1957,98,92,Drama,NR,1h 36m,https://www.rottentomatoes.com/m/sweet_smell_of_success,https://resizing.flixster.com/XqlnF6TERUK8pNgpFcIbBk3h1Bc=/206x305/v2/https://flxt.tmsimg.com/assets/p754_p_v10_al.jpg
Sweet Sixteen,2002,97,88,Drama,R,1h 46m,https://www.rottentomatoes.com/m/sweet_sixteen,https://resizing.flixster.com/yhCCA-tWpXCiYVmMmnafb3NKUC0=/206x305/v2/https://flxt.tmsimg.com/assets/p78454_p_v10_ac.jpg
Sweet Hearts Dance,1988,50,36,Comedy/Drama,R,1h 41m,https://www.rottentomatoes.com/m/sweet_hearts_dance,https://resizing.flixster.com/1-rgeneydUcSDJ96YC16z-LwftY=/206x305/v2/https://flxt.tmsimg.com/assets/p11110_p_v8_aa.jpg
The Sweetest Thing,2002,26,65,Romance,R,1h 24m,https://www.rottentomatoes.com/m/sweetest_thing,https://resizing.flixster.com/HS2D3bD63buuuLYr32lbGjcarOY=/206x305/v2/https://flxt.tmsimg.com/assets/p29365_p_v10_an.jpg
The Sweet Hereafter,1997,98,86,Drama,R,1h 50m,https://www.rottentomatoes.com/m/sweet_hereafter,https://resizing.flixster.com/wGbf4e1H7qjso0EqWeYNnpBwv1Q=/206x305/v2/https://flxt.tmsimg.com/assets/p19377_p_v10_aa.jpg
Sweet and Lowdown,1999,77,82,Comedy/Drama,PG-13,1h 35m,https://www.rottentomatoes.com/m/sweet_and_lowdown,https://resizing.flixster.com/OcQVcqf2grQfhts9sga0D-AZC3g=/206x305/v2/https://flxt.tmsimg.com/assets/p23910_p_v13_ae.jpg
Sweet Dreams,1985,90,81,Biography,PG-13,1h 55m,https://www.rottentomatoes.com/m/sweet_dreams,https://resizing.flixster.com/LSmJCN9KgI83tvbcHrPidMv1rTo=/206x305/v2/https://flxt.tmsimg.com/assets/p8764_p_v8_aa.jpg
Sweet November,2001,15,76,Romance/Drama,PG-13,1h 59m,https://www.rottentomatoes.com/m/1104841-sweet_november,https://resizing.flixster.com/8G8sjPwxX0bLlpH1iPyC_uGnsq4=/206x305/v2/https://flxt.tmsimg.com/assets/p27108_p_v10_ad.jpg
Sweet Home Alabama,2002,38,78,Romance,PG-13,1h 48m,https://www.rottentomatoes.com/m/sweet_home_alabama,https://resizing.flixster.com/ilB1v-8fIOKzhIxrPG_DqxIdZbo=/206x305/v2/https://flxt.tmsimg.com/assets/p30076_p_v10_aa.jpg
Sweet Charity,1969,83,73,Musical,G,2h 34m,https://www.rottentomatoes.com/m/sweet_charity,https://resizing.flixster.com/vzP6_feH6WWEyQdynp-8qQum-Mg=/206x305/v2/https://flxt.tmsimg.com/assets/p2639_p_v10_aa.jpg
Girls Guns and Blood,2019,NR,NR,Comedy/Action,NR,1h 15m,https://www.rottentomatoes.com/m/girls_guns_and_blood,https://resizing.flixster.com/gHAVP6t5EylmLbJyAV71ZayYjKk=/206x305/v2/https://flxt.tmsimg.com/assets/p16889145_p_v8_aa.jpg
