Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
Blown Sky High,1985,NR,NR,Adventure,NR,1h 40m,https://www.rottentomatoes.com/m/blown_sky_high_1984,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Sky High,1922,NR,56,Western,NR,1h 12m,https://www.rottentomatoes.com/m/sky_high,https://resizing.flixster.com/WxeZ8kTyMu42X3mBBocu2Xa6qNg=/206x305/v2/https://flxt.tmsimg.com/assets/p69867_p_v10_aa.jpg
No Highway in the Sky,1951,NR,66,Drama,NR,1h 38m,https://www.rottentomatoes.com/m/no_highway_in_the_sky,https://resizing.flixster.com/-vHGIkey3qqYyzj8rf_tuV9Jtds=/206x305/v2/https://flxt.tmsimg.com/assets/p6750_p_v8_aa.jpg
Sky High,2003,NR,62,Mystery and thriller/Fantasy,NR,2h 2m,https://www.rottentomatoes.com/m/sky-high-2003,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Sky High,2005,73,57,Comedy/Adventure,PG,1h 40m,https://www.rottentomatoes.com/m/1142872-sky_high,https://resizing.flixster.com/rNV1v2KAHL-Q3-w191dJjwWHiFw=/206x305/v2/https://flxt.tmsimg.com/assets/p36158_p_v8_ai.jpg
A Man Called God,2013,NR,NR,Documentary/Biography,NR,1h 47m,https://www.rottentomatoes.com/m/a_man_called_god,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
The Concrete Cowboys,1979,NR,36,Adventure,NR,1h 37m,https://www.rottentomatoes.com/m/the_concrete_cowboys,https://resizing.flixster.com/hZmOvFWZBfaYVxQj8O9AUkawOgw=/206x305/v2/https://flxt.tmsimg.com/assets/p4832_p_v8_aa.jpg
Air Strike,2004,NR,NR,Action,R,1h 30m,https://www.rottentomatoes.com/m/air-strike,https://resizing.flixster.com/AkKvrMR5efc8KM7TQx5xxzZyd-4=/206x305/v2/https://flxt.tmsimg.com/assets/p33796_p_v8_aa.jpg
Il portaborse,1991,NR,64,Comedy/Drama,NR,1h 30m,https://www.rottentomatoes.com/m/il-portaborse,https://resizing.flixster.com/zn-wyGorPtSQpzVUOTOyrRfpAJg=/206x305/v2/https://flxt.tmsimg.com/assets/p13191470_p_v8_aa.jpg
Yes Man,2008,46,66,Comedy,PG-13,1h 44m,https://www.rottentomatoes.com/m/yes_man,https://resizing.flixster.com/RPTal525CP75TIZlmCDQgfyTJuc=/206x305/v2/https://flxt.tmsimg.com/assets/p176708_p_v10_ai.jpg
Twice Upon a Yesterday,1998,29,53,Comedy/Drama,R,1h 35m,https://www.rottentomatoes.com/m/the_man_with_rain_in_his_shoes_1998,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
